season_start,spend_millions,fee_clean
2000,788.595,788595000.0
2001,930.938,930938000.0
2002,507.38800000000003,507388000.0
2003,694.625,694625000.0
2004,817.048,817048000.0
2005,844.72,844720000.0
2006,877.505,877505000.0
2007,650.285,650285000.0
2008,1409.745,1409745000.0
2009,943.595,943595000.0
2010,1212.9,1212900000.0
2011,1043.766,1043766000.0
2012,1250.55,1250550000.0
2013,1477.152,1477152000.0
